id,config,configLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KKYCFRHMSRSKBG2VFCDREHRN,"{""kind"":""simple"",""config"":{""treatments"":[{""name"":""triple"",""factors"":{""playerCount"":3}}],""count"":5}}",2026-03-17T17:11:23.95619Z,true,2026-03-17T17:11:23.978829Z,"{""name"":""Default shared ignore"",""kind"":""shared"",""duration"":300000000000,""strategy"":""ignore""}",2026-03-17T17:11:23.95619Z,terminated,2026-03-17T17:12:38.842175Z
01KKYCWKTHD9JGPE5F478XGGX4,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:18:25.105985Z,true,2026-03-17T17:18:25.126123Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:18:25.105985Z,terminated,2026-03-17T17:32:29.349736Z
01KKYBVPTR9KNKC943751014AQ,"{""kind"":""simple"",""config"":{""treatments"":[{""name"":""triple"",""factors"":{""playerCount"":3}}],""count"":4}}",2026-03-17T17:00:26.84036Z,true,2026-03-17T17:00:26.85792Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:00:26.84036Z,terminated,2026-03-17T17:04:56.791925Z
01KKYC3RESZK2X8CX0B1P9RNFG,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":20}]}}",2026-03-17T17:04:50.64923Z,true,2026-03-17T17:04:50.706881Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:04:50.64923Z,terminated,2026-03-17T17:09:43.583795Z
01KKYE3YGJAE8ETR2FGGFGTDR8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:39:54.00219Z,true,2026-03-17T17:39:54.018782Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:39:54.00219Z,terminated,2026-03-17T17:50:44.015061Z
01KKYCJ6S7RBKN554GX1A2GGDK,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:12:44.07159Z,true,2026-03-17T17:12:44.091723Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:12:44.07159Z,terminated,2026-03-17T17:18:16.491597Z
01KKYDPJZ4TJPM3Y622PH5P145,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:32:36.196532Z,true,2026-03-17T17:32:36.214479Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:32:36.196532Z,terminated,2026-03-17T17:35:19.978134Z
01KKYCDBA59V765MP442EM3597,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":20}]}}",2026-03-17T17:10:04.869039Z,true,2026-03-17T17:10:04.903537Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:10:04.869039Z,terminated,2026-03-17T17:11:12.273278Z
01KKYER6CB4640Z8X5TXVEJX6P,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:50:57.419089Z,true,2026-03-17T17:50:57.4324Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:50:57.419089Z,running,2026-03-17T17:50:57.974451Z
01KKY9MZR224AXKG9FK5KX6JP5,"{""kind"":""simple"",""config"":{""treatments"":[{""name"":""triple"",""factors"":{""playerCount"":3}}],""count"":4}}",2026-03-17T16:21:49.444198Z,true,2026-03-17T16:21:49.493137Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T16:21:49.444198Z,terminated,2026-03-17T17:00:24.365551Z
01KKYCCZFG79ZEA8AHNXR4625S,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":20}]}}",2026-03-17T17:09:52.752147Z,true,2026-03-17T17:09:52.793571Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:09:52.752147Z,terminated,2026-03-17T17:18:33.356871Z
01KKYDVVWED34MFW7JWXQAX8WM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:35:29.167069Z,true,2026-03-17T17:35:29.198327Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:35:29.167069Z,terminated,2026-03-17T17:37:23.519952Z
01KKYDZC7J19KBRFEVWVHTXMC5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""triple"",""factors"":{""playerCount"":3}},""count"":1}]}}",2026-03-17T17:37:24.21068Z,true,2026-03-17T17:37:24.234923Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2026-03-17T17:37:24.21068Z,terminated,2026-03-17T17:39:37.182891Z
