id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01KKYCK3GW8FXQVY6CEQW2PH7C,01KKYCJ6S7RBKN554GX1A2GGDK,2026-03-17T17:13:13.500494Z,600,2026-03-17T17:13:13.500494Z,false,2026-03-17T17:13:13.500494Z,,,01KKYCJ6SWYA0147PF7D6CVQVA,2026-03-17T17:13:13.500494Z,0,2026-03-17T17:13:13.500494Z,,,task,2026-03-17T17:13:13.500494Z,01KKYCK3GMW3TGDMF1EHE7FESX,2026-03-17T17:13:13.500494Z,false,2026-03-17T17:13:13.500494Z,,,,,01KKYCK3GV7SXGW4397HQVF9W2,2026-03-17T17:13:13.500494Z
01KKYCXTXMJ9B65BCET20B6CSK,01KKYCWKTHD9JGPE5F478XGGX4,2026-03-17T17:19:05.140504Z,600,2026-03-17T17:19:05.140504Z,true,2026-03-17T17:32:29.414324Z,batch ended,2026-03-17T17:32:29.372908Z,01KKYCWKV5C1SVGT78Q00E7CTB,2026-03-17T17:19:05.140504Z,0,2026-03-17T17:19:05.140504Z,true,2026-03-17T17:29:05.26355Z,task,2026-03-17T17:19:05.140504Z,01KKYCXTXBWHQPMD60D7J8RQPV,2026-03-17T17:19:05.140504Z,true,2026-03-17T17:29:05.250058Z,true,2026-03-17T17:29:05.266576Z,ended,2026-03-17T17:32:29.372908Z,01KKYCXTXKEVFAXJCKD54JFDXX,2026-03-17T17:19:05.140504Z
01KKYE071K9V38WEKFK77MBTV8,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:51.667639Z,600,2026-03-17T17:37:51.667639Z,false,2026-03-17T17:37:51.667639Z,,,01KKYDZC892WJ7M77BX48Y42EZ,2026-03-17T17:37:51.667639Z,0,2026-03-17T17:37:51.667639Z,,,task,2026-03-17T17:37:51.667639Z,01KKYE0719X04NB8K3HPKKYECT,2026-03-17T17:37:51.667639Z,false,2026-03-17T17:37:51.667639Z,,,,,01KKYE071JYXVYH3A85336RWDX,2026-03-17T17:37:51.667639Z
01KKYE4MFW5B2AYWNXDN561BJT,01KKYE3YGJAE8ETR2FGGFGTDR8,2026-03-17T17:40:16.508913Z,600,2026-03-17T17:40:16.508913Z,false,2026-03-17T17:40:16.508913Z,,,01KKYE3YH22P58CF5XWY53PYS6,2026-03-17T17:40:16.508913Z,0,2026-03-17T17:40:16.508913Z,,,task,2026-03-17T17:40:16.508913Z,01KKYE4MFGBZVMFB51XQPPMFKM,2026-03-17T17:40:16.508913Z,false,2026-03-17T17:40:16.508913Z,,,,,01KKYE4MFVF3B8MCGJSY8QTCSV,2026-03-17T17:40:16.508913Z
01KKYDWQNFADV64JM6HZRP1AM4,01KKYDVVWED34MFW7JWXQAX8WM,2026-03-17T17:35:57.615716Z,600,2026-03-17T17:35:57.615716Z,false,2026-03-17T17:35:57.615716Z,,,01KKYDVVXBQS7GTFV5F1GQ3QR3,2026-03-17T17:35:57.615716Z,0,2026-03-17T17:35:57.615716Z,,,task,2026-03-17T17:35:57.615716Z,01KKYDWQN5200CH9Z0E0GPC1BH,2026-03-17T17:35:57.615716Z,false,2026-03-17T17:35:57.615716Z,,,,,01KKYDWQNEBS46G9CN7FGGRR2V,2026-03-17T17:35:57.615716Z
01KKYE4MFQJSG6YW3CPC9HRZRA,01KKYE3YGJAE8ETR2FGGFGTDR8,2026-03-17T17:40:16.503427Z,600,2026-03-17T17:40:16.503427Z,true,2026-03-17T17:50:44.106103Z,batch ended,2026-03-17T17:50:44.027102Z,01KKYE3YH22P58CF5XWY53PYS6,2026-03-17T17:40:16.503427Z,0,2026-03-17T17:40:16.503427Z,true,2026-03-17T17:40:16.552101Z,task,2026-03-17T17:40:16.503427Z,01KKYE4MFE903WNMM3VZJ3F785,2026-03-17T17:40:16.503427Z,true,2026-03-17T17:40:16.540446Z,true,2026-03-17T17:40:16.556723Z,ended,2026-03-17T17:50:44.027102Z,01KKYE4MFKM7GY2HNDJF5NP6Z5,2026-03-17T17:40:16.503427Z
01KKYERN16H1T5ZHSB8QDZKRDE,01KKYER6CB4640Z8X5TXVEJX6P,2026-03-17T17:51:12.422253Z,600,2026-03-17T17:51:12.422253Z,true,2026-03-17T18:01:12.48996Z,,,01KKYER6CRXX4KVR5JVSDKGX5E,2026-03-17T17:51:12.422253Z,0,2026-03-17T17:51:12.422253Z,true,2026-03-17T17:51:12.464749Z,task,2026-03-17T17:51:12.422253Z,01KKYERN10QC2XGH70F7A3PYH1,2026-03-17T17:51:12.422253Z,true,2026-03-17T17:51:12.456754Z,true,2026-03-17T17:51:12.468264Z,,,01KKYERN14NE0SQ9J7MT33PH73,2026-03-17T17:51:12.422253Z
01KKYERN1A1G6MAH84K3CR668E,01KKYER6CB4640Z8X5TXVEJX6P,2026-03-17T17:51:12.426554Z,600,2026-03-17T17:51:12.426554Z,false,2026-03-17T17:51:12.426554Z,,,01KKYER6CRXX4KVR5JVSDKGX5E,2026-03-17T17:51:12.426554Z,0,2026-03-17T17:51:12.426554Z,true,2026-03-17T18:01:12.543222Z,task,2026-03-17T17:51:12.426554Z,01KKYERN11Y64GEH1VKEP1B2S2,2026-03-17T17:51:12.426554Z,true,2026-03-17T18:01:12.530705Z,true,2026-03-17T18:01:12.558693Z,,,01KKYERN19NH5F6M1YGKQ8DPBS,2026-03-17T17:51:12.426554Z
01KKYCXTXGJ05EY1S7G9SFNN6Q,01KKYCWKTHD9JGPE5F478XGGX4,2026-03-17T17:19:05.136617Z,600,2026-03-17T17:19:05.136617Z,true,2026-03-17T17:29:05.207145Z,,,01KKYCWKV5C1SVGT78Q00E7CTB,2026-03-17T17:19:05.136617Z,0,2026-03-17T17:19:05.136617Z,true,2026-03-17T17:19:05.182369Z,task,2026-03-17T17:19:05.136617Z,01KKYCXTX9YJQWPBNMA23WD2W6,2026-03-17T17:19:05.136617Z,true,2026-03-17T17:19:05.17406Z,true,2026-03-17T17:19:05.185236Z,,,01KKYCXTXE1DQEDZ9P23ERGXZD,2026-03-17T17:19:05.136617Z
01KKYDQ7VFRMPC9YAF46PE8VSK,01KKYDPJZ4TJPM3Y622PH5P145,2026-03-17T17:32:57.583926Z,600,2026-03-17T17:32:57.583926Z,true,2026-03-17T17:35:19.996313Z,batch ended,2026-03-17T17:35:19.990681Z,01KKYDPJZPGMWCCSWYQ5GPZE02,2026-03-17T17:32:57.583926Z,0,2026-03-17T17:32:57.583926Z,true,2026-03-17T17:32:57.67392Z,task,2026-03-17T17:32:57.583926Z,01KKYDQ7V8Z513WE5K1HKWYJ7V,2026-03-17T17:32:57.583926Z,true,2026-03-17T17:32:57.646857Z,true,2026-03-17T17:32:57.68029Z,ended,2026-03-17T17:35:19.990681Z,01KKYDQ7VEZCYX30GMK09QMN12,2026-03-17T17:32:57.583926Z
01KKYDQ7VM3ANF2K5DNCYH4Y3J,01KKYDPJZ4TJPM3Y622PH5P145,2026-03-17T17:32:57.58814Z,600,2026-03-17T17:32:57.58814Z,false,2026-03-17T17:32:57.58814Z,,,01KKYDPJZPGMWCCSWYQ5GPZE02,2026-03-17T17:32:57.58814Z,0,2026-03-17T17:32:57.58814Z,,,task,2026-03-17T17:32:57.58814Z,01KKYDQ7V9Y37YF9G5BRAMZKTQ,2026-03-17T17:32:57.58814Z,false,2026-03-17T17:32:57.58814Z,,,,,01KKYDQ7VJC728RP5NGN6NE0M7,2026-03-17T17:32:57.58814Z
01KKYDWQNBMEMVM6BVK6DEKD8K,01KKYDVVWED34MFW7JWXQAX8WM,2026-03-17T17:35:57.611855Z,600,2026-03-17T17:35:57.611855Z,true,2026-03-17T17:37:23.604465Z,batch ended,2026-03-17T17:37:23.531372Z,01KKYDVVXBQS7GTFV5F1GQ3QR3,2026-03-17T17:35:57.611855Z,0,2026-03-17T17:35:57.611855Z,true,2026-03-17T17:35:57.681713Z,task,2026-03-17T17:35:57.611855Z,01KKYDWQN4BGGG9K54RNWP8YW8,2026-03-17T17:35:57.611855Z,true,2026-03-17T17:35:57.66661Z,true,2026-03-17T17:35:57.690501Z,ended,2026-03-17T17:37:23.531372Z,01KKYDWQNAGPK5KG3MBXZCB2TA,2026-03-17T17:35:57.611855Z
01KKYCK3GRA12HM70QM4VDGD1Y,01KKYCJ6S7RBKN554GX1A2GGDK,2026-03-17T17:13:13.496754Z,600,2026-03-17T17:13:13.496754Z,true,2026-03-17T17:18:16.570447Z,batch ended,2026-03-17T17:18:16.506874Z,01KKYCJ6SWYA0147PF7D6CVQVA,2026-03-17T17:13:13.496754Z,0,2026-03-17T17:13:13.496754Z,true,2026-03-17T17:13:13.546515Z,task,2026-03-17T17:13:13.496754Z,01KKYCK3GJKB3N73KC5YZGMZW0,2026-03-17T17:13:13.496754Z,true,2026-03-17T17:13:13.537704Z,true,2026-03-17T17:13:13.550982Z,ended,2026-03-17T17:18:16.506874Z,01KKYCK3GQE8ESPP3QP4XWDKJ2,2026-03-17T17:13:13.496754Z
01KKYE071ED2RSF955TC38MFFM,01KKYDZC7J19KBRFEVWVHTXMC5,2026-03-17T17:37:51.662315Z,600,2026-03-17T17:37:51.662315Z,true,2026-03-17T17:39:37.199598Z,batch ended,2026-03-17T17:39:37.194535Z,01KKYDZC892WJ7M77BX48Y42EZ,2026-03-17T17:37:51.662315Z,0,2026-03-17T17:37:51.662315Z,true,2026-03-17T17:37:51.716501Z,task,2026-03-17T17:37:51.662315Z,01KKYE0718882YEBCWH5M8KDEM,2026-03-17T17:37:51.662315Z,true,2026-03-17T17:37:51.708421Z,true,2026-03-17T17:37:51.71916Z,ended,2026-03-17T17:39:37.194535Z,01KKYE071CB9B5B3JV7WPWN1HA,2026-03-17T17:37:51.662315Z
